Arial,Builtin,Windows 11
Arial Black,Builtin,Windows 11
Bahnschrift,Builtin,Windows 11
Calibri,Builtin,Windows 11
Cambria,Builtin,Windows 11
Cambria Math,Builtin,Windows 11
Candara,Builtin,Windows 11
Cascadia Code,Builtin,Windows 11
Cascadia Mono,Builtin,Windows 11
Comic Sans MS,Builtin,Windows 11
Consolas,Builtin,Windows 11
Constantia,Builtin,Windows 11
Corbel,Builtin,Windows 11
Courier New,Builtin,Windows 11
Ebrima,Builtin,Windows 11
Franklin Gothic Medium,Builtin,Windows 11
Gabriola,Builtin,Windows 11
Gadugi,Builtin,Windows 11
Georgia,Builtin,Windows 11
HoloLens MDL2 Assets,Builtin,Windows 11
Impact,Builtin,Windows 11
Ink Free,Builtin,Windows 11
Javanese Text,Builtin,Windows 11
Leelawadee UI,Builtin,Windows 11
Lucida Console,Builtin,Windows 11
Lucida Sans Unicode,Builtin,Windows 11
Malgun Gothic,Builtin,Windows 11
Marlett,Builtin,Windows 11
Microsoft Himalaya,Builtin,Windows 11
Microsoft JhengHei,Builtin,Windows 11
Microsoft JhengHei UI,Builtin,Windows 11
Microsoft New Tai Lue,Builtin,Windows 11
Microsoft PhagsPa,Builtin,Windows 11
Microsoft Sans Serif,Builtin,Windows 11
Microsoft Tai Le,Builtin,Windows 11
Microsoft YaHei,Builtin,Windows 11
Microsoft YaHei UI,Builtin,Windows 11
Microsoft Yi Baiti,Builtin,Windows 11
MingLiU-ExtB,Builtin,Windows 11
PMingLiU-ExtB,Builtin,Windows 11
MingLiU_HKSCS-ExtB,Builtin,Windows 11
Mongolian Baiti,Builtin,Windows 11
MS Gothic,Builtin,Windows 11
MS PGothic,Builtin,Windows 11
MS UI Gothic,Builtin,Windows 11
MV Boli,Builtin,Windows 11
Myanmar Text,Builtin,Windows 11
Nirmala UI,Builtin,Windows 11
Palatino Linotype,Builtin,Windows 11
Segoe Fluent Icons,Builtin,Windows 11
Segoe MDL2 Assets,Builtin,Windows 11
Segoe Print,Builtin,Windows 11
Segoe Script,Builtin,Windows 11
Segoe UI,Builtin,Windows 11
Segoe UI Emoji,Builtin,Windows 11
Segoe UI Historic,Builtin,Windows 11
Segoe UI Symbol,Builtin,Windows 11
Segoe UI Variable,Builtin,Windows 11
SimSun,Builtin,Windows 11
NSimSun,Builtin,Windows 11
SimSun-ExtB,Builtin,Windows 11
Sitka,Builtin,Windows 11
Sylfaen,Builtin,Windows 11
Symbol,Builtin,Windows 11
Tahoma,Builtin,Windows 11
Times New Roman,Builtin,Windows 11
Trebuchet MS,Builtin,Windows 11
Verdana,Builtin,Windows 11
Webdings,Builtin,Windows 11
Wingdings,Builtin,Windows 11
Yu Gothic,Builtin,Windows 11
Yu Gothic UI,Builtin,Windows 11
Aldhabi,Arabic,Windows 11
Andalus,Arabic,Windows 11
Arabic Typesetting,Arabic,Windows 11
Microsoft Uighur,Arabic,Windows 11
Sakkal Majalla,Arabic,Windows 11
Simplified Arabic,Arabic,Windows 11
Simplified Arabic Fixed,Arabic,Windows 11
Traditional Arabic,Arabic,Windows 11
Urdu Typesetting,Arabic,Windows 11
Shonar Bangla,Bangla,Windows 11
Vrinda,Bangla,Windows 11
Euphemia,Canadian Aboriginal Syllabics,Windows 11
Plantagenet Cherokee,Cherokee,Windows 11
Aparajita,Devanagari,Windows 11
Kokila,Devanagari,Windows 11
Mangal,Devanagari,Windows 11
Sanskrit Text,Devanagari,Windows 11
Utsaah,Devanagari,Windows 11
Nyala,Ethiopic,Windows 11
Shruti,Gujarati,Windows 11
Raavi,Gurmukhi,Windows 11
DengXian,Chinese (Simplified),Windows 11
FangSong,Chinese (Simplified),Windows 11
KaiTi,Chinese (Simplified),Windows 11
SimHei,Chinese (Simplified),Windows 11
DFKai-SB,Chinese (Traditional),Windows 11
MingLiU,Chinese (Traditional),Windows 11
MingLiU_HKSCS,Chinese (Traditional),Windows 11
PMingLiU,Chinese (Traditional),Windows 11
Aharoni Bold,Hebrew,Windows 11
David,Hebrew,Windows 11
FrankRuehl,Hebrew,Windows 11
Gisha,Hebrew,Windows 11
Levenim MT,Hebrew,Windows 11
Miriam,Hebrew,Windows 11
Miriam Fixed,Hebrew,Windows 11
Narkisim,Hebrew,Windows 11
Rod,Hebrew,Windows 11
BIZ UDGothic,Japanese,Windows 11
BIZ UDPGothic,Japanese,Windows 11
BIZ UDMincho,Japanese,Windows 11
BIZ UDPMincho,Japanese,Windows 11
Meiryo,Japanese,Windows 11
Meiryo UI,Japanese,Windows 11
MS Mincho,Japanese,Windows 11
MS PMincho,Japanese,Windows 11
UD Digi Kyokasho,Japanese,Windows 11
Yu Mincho,Japanese,Windows 11
Tunga,Kannada,Windows 11
DaunPenh,Khmer,Windows 11
Khmer UI,Khmer,Windows 11
MoolBoran,Khmer,Windows 11
Batang,Korean,Windows 11
Dotum,Korean,Windows 11
Gulim,Korean,Windows 11
Gungsuh,Korean,Windows 11
DokChampa,Lao,Windows 11
Lao UI,Lao,Windows 11
Kartika,Malayalam,Windows 11
Kalinga,Odia,Windows 11
Arial Nova,Pan-European,Windows 11
Georgia Pro,Pan-European,Windows 11
Gill Sans Nova,Pan-European,Windows 11
Neue Haas Grotesk Text Pro,Pan-European,Windows 11
Rockwell Nova,Pan-European,Windows 11
Verdana Pro,Pan-European,Windows 11
Iskoola Pota,Sinhala,Windows 11
Estrangelo Edessa,Syriac,Windows 11
Latha,Tamil,Windows 11
Vijaya,Tamil,Windows 11
Gautami,Telugu,Windows 11
Vani,Telugu,Windows 11
Angsana New,Thai,Windows 11
AngsanaUPC,Thai,Windows 11
Browallia New,Thai,Windows 11
BrowalliaUPC,Thai,Windows 11
Cordia New,Thai,Windows 11
CordiaUPC,Thai,Windows 11
DilleniaUPC,Thai,Windows 11
EucrosiaUPC,Thai,Windows 11
FreesiaUPC,Thai,Windows 11
IrisUPC,Thai,Windows 11
JasmineUPC,Thai,Windows 11
KodchiangUPC,Thai,Windows 11
Leelawadee,Thai,Windows 11
LilyUPC,Thai,Windows 11